BRAND,JRPSKU,OEMSKU,DESCRIPTION,QTY,COST,MAP
"ACCEL Motorcycle",ACC151308,151308,"ACCEL MOTORCYCLE BAT ELIM.KIT",0,66.45115,78.75691
"ACCEL Motorcycle",ACC151408,151408,"ACCEL MOTORCYCLE CABLE SET BATT L DYNA MC",0,70.60500,89.49460
"ACCEL Motorcycle",ACC151409,151409,"ACCEL MOTORCYCLE CABLE SET BATT DYNA MC",0,70.60500,89.49460
"ACCEL Motorcycle",ACC152100,152100,"ACCEL MOTORCYCLE ROTOR H-D ALTERNATOR",0,239.87422,286.58422
"ACCEL Motorcycle",ACC152101,152101,"ACCEL MOTORCYCLE STATOR ASSY",0,269.98960,342.24576
"ACCEL Motorcycle",ACC152102,152102,"ACCEL MOTORCYCLE STATOR ASY",0,195.22038,247.62115
"ACCEL Motorcycle",ACC152103,152103,"ACCEL MOTORCYCLE STATOR ASY",0,174.45115,221.18191
"ACCEL Motorcycle",ACC152104,152104,"ACCEL MOTORCYCLE STATOR ASY",0,173.41268,219.79038
"ACCEL Motorcycle",ACC152105,152105,"ACCEL MOTORCYCLE STATOR ASY",0,173.41268,219.79038
"ACCEL Motorcycle",ACC152106,152106,"ACCEL MOTORCYCLE STATOR ASY",0,173.41268,219.79038
"ACCEL Motorcycle",ACC152107,152107,"ACCEL MOTORCYCLE STATOR ASY",0,183.79730,219.79038
"ACCEL Motorcycle",ACC152108,152108,"ACCEL MOTORCYCLE STATOR ASY",0,173.41268,219.79038
"ACCEL Motorcycle",ACC152109,152109,"ACCEL MOTORCYCLE STATOR 40 AMP ROUND CASE PLUG",0,336.45115,427.12960
"ACCEL Motorcycle",ACC152110,152110,"ACCEL MOTORCYCLE STATOR 38 AMP OVAL CASE PLUG",0,336.45115,427.12960
"ACCEL Motorcycle",ACC152111,152111,"ACCEL MOTORCYCLE STATOR 38A 3PHS RPL 30017-01",0,161.98960,193.35115
"ACCEL Motorcycle",ACC152112,152112,"ACCEL MOTORCYCLE STATOR 40A 3-PHS RPL 30017-07",0,268.95115,321.37268
"ACCEL Motorcycle",ACC152113,152113,"ACCEL MOTORCYCLE STATOR 38A RPL 29987-99",0,328.14345,392.34115
"ACCEL Motorcycle",ACC152114,152114,"ACCEL MOTORCYCLE STATOR 45A RPL 29987-02",0,328.14345,392.34115
"ACCEL Motorcycle",ACC152115,152115,"ACCEL MOTORCYCLE STATOR 50A 3-PHS 29987-06",0,328.14345,392.34115
"ACCEL Motorcycle",ACC152201,152201,"ACCEL MOTORCYCLE ROTOR 38A 3 PHASE",0,161.98960,193.35115
"ACCEL Motorcycle",ACC152300,152300,"ACCEL MOTORCYCLE KIT CHARGING SYSTEM 32A",0,456.91268,546.80191
"ACCEL Motorcycle",ACC152304,152304,"ACCEL MOTORCYCLE KIT CHARGE SYS 38A W/CHR 3PHS",0,549.33576,656.73345
"ACCEL Motorcycle",ACC170036M,170036M,"ACCEL MOTORCYCLE 300+ PERMA-CRIMP TOOL",0,155.75883,198.51230
"ACCEL Motorcycle",ACC170082,170082,"ACCEL MOTORCYCLE WIRE SET 8.8",0,83.06653,105.38307
"ACCEL Motorcycle",ACC170083,170083,"ACCEL MOTORCYCLE WIRE SET 8.8",0,42.56653,53.66768
"ACCEL Motorcycle",ACC170085,170085,"ACCEL MOTORCYCLE WIRE SET 8.8",0,42.56653,53.66768
"ACCEL Motorcycle",ACC171097-B,171097-B,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99BUL/DYN",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171097-K,171097-K,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99BUL/DYN",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171097-R,171097-R,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99BUL/DYN",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171097-Y,171097-Y,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99BUL/DYN",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171098-B,171098-B,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99FLH SERI",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171098-K,171098-K,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99FLH SERI",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171098-R,171098-R,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99FLH SERI",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171098-Y,171098-Y,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 99FLH SERI",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171099-B,171099-B,"ACCEL MOTORCYCLE WIRE ST BLU HD ROCKER BREAKOUT BLACKLINE",0,56.06653,65.98383
"ACCEL Motorcycle",ACC171099-K,171099-K,"ACCEL MOTORCYCLE WIRE ST BLK HD ROCKER BREAKOUT BLACKLINE",0,62.29730,69.56653
"ACCEL Motorcycle",ACC171099-R,171099-R,"ACCEL MOTORCYCLE WIRE ST RED HD ROCKER BREAKOUT BLACKLINE",0,56.06653,65.98383
"ACCEL Motorcycle",ACC171099-Y,171099-Y,"ACCEL MOTORCYCLE WIRE ST YEL HD ROCKER BREAKOUT BLACKLINE",0,56.06653,65.98383
"ACCEL Motorcycle",ACC171100-B,171100-B,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 00 SOFTAIL",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171100-K,171100-K,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 00 SOFTAIL",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171100-R,171100-R,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 00 SOFTAIL",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171100-Y,171100-Y,"ACCEL MOTORCYCLE WIRE SET 500 CUSFIT 00 SOFTAIL",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171110B,171110B,"ACCEL MOTORCYCLE 8MM S/S WIRE SPORTSTER BLUE",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171110K,171110K,"ACCEL MOTORCYCLE 8MM S/S WIRE SPORTSTER BLACK",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171110R,171110R,"ACCEL MOTORCYCLE 8MM S/S WIRE SPORTSTER RED",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171110Y,171110Y,"ACCEL MOTORCYCLE 8MM S/S WIRE SPORTSTER YELLOW",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171111B,171111B,"ACCEL MOTORCYCLE 8MM S/S WIRE TOURING BLUE",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171111K,171111K,"ACCEL MOTORCYCLE 8MM S/S WIRE TOURING BLACK",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171111R,171111R,"ACCEL MOTORCYCLE 8MM S/S WIRE TOURING RED",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171111Y,171111Y,"ACCEL MOTORCYCLE 8MM S/S WIRE TOURING YELLOW",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171112B,171112B,"ACCEL MOTORCYCLE 8MM S/S WIRE XR1200 BLUE",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171112K,171112K,"ACCEL MOTORCYCLE 8MM S/S WIRE XR1200 BLACK",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171112R,171112R,"ACCEL MOTORCYCLE 8MM S/S WIRE XR1200 RED",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171112Y,171112Y,"ACCEL MOTORCYCLE 8MM S/S WIRE XR1200 YELLOW",0,57.10500,67.58307
"ACCEL Motorcycle",ACC171116-B,171116-B,"ACCEL MOTORCYCLE WIRE SET 17-UP MILWAUKEE 8 - BLUE",0,75.79730,89.67115
"ACCEL Motorcycle",ACC171116-K,171116-K,"ACCEL MOTORCYCLE WIRE SET 17-UP MILWAUKEE 8 - BLACK",0,75.79730,89.67115
"ACCEL Motorcycle",ACC171116-R,171116-R,"ACCEL MOTORCYCLE WIRE SET 17-UP MILWAUKEE 8 - RED",0,75.79730,89.67115
"ACCEL Motorcycle",ACC171116-Y,171116-Y,"ACCEL MOTORCYCLE WIRE SET 17-UP MILWAUKEE 8 - YELLOW",0,75.79730,89.67115
"ACCEL Motorcycle",ACC171117-B,171117-B,"ACCEL MOTORCYCLE WIRE SET 17-UP M8 SOFTAIL - BLUE",0,72.68191,86.23383
"ACCEL Motorcycle",ACC171117-K,171117-K,"ACCEL MOTORCYCLE WIRE SET 17-UP M8 SOFTAIL - BLACK",0,72.68191,86.23383
"ACCEL Motorcycle",ACC171117-R,171117-R,"ACCEL MOTORCYCLE WIRE SET 17-UP M8 SOFTAIL - RED",0,72.68191,86.23383
"ACCEL Motorcycle",ACC171117-Y,171117-Y,"ACCEL MOTORCYCLE WIRE SET 17-UP M8 SOFTAIL - YELLOW",0,72.68191,86.23383
"ACCEL Motorcycle",ACC172071,172071,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172071K,172071K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172072,172072,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172072K,172072K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172073,172073,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172073K,172073K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172074,172074,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172074K,172074K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172075,172075,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172075K,172075K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172082,172082,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172082K,172082K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172083,172083,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172083K,172083K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172086,172086,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172086K,172086K,"ACCEL MOTORCYCLE WIRE SET",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172089,172089,"ACCEL MOTORCYCLE WIRE SET 8.8",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172089K,172089K,"ACCEL MOTORCYCLE WIRE SET 8.8",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172090,172090,"ACCEL MOTORCYCLE WIRE SET 8.8",0,41.52807,51.65307
"ACCEL Motorcycle",ACC172090K,172090K,"ACCEL MOTORCYCLE WIRE SET 8.8",0,41.52807,51.65307
"ACCEL Motorcycle",ACC173082,173082,"ACCEL MOTORCYCLE WIRE SET 8.8",0,85.14345,107.35615
"ACCEL Motorcycle",ACC173082K,173082K,"ACCEL MOTORCYCLE WIRE SET 8.8",0,83.06653,105.38307
"ACCEL Motorcycle",ACC173083,173083,"ACCEL MOTORCYCLE WIRE SET 8.8",0,42.56653,53.66768
"ACCEL Motorcycle",ACC173083K,173083K,"ACCEL MOTORCYCLE WIRE SET 8.8",0,42.56653,53.66768
"ACCEL Motorcycle",ACC173084K,173084K,"ACCEL MOTORCYCLE WIRE SET 8.8",0,85.14345,107.35615
"ACCEL Motorcycle",ACC173085,173085,"ACCEL MOTORCYCLE WIRE SET 8.8",0,42.56653,53.66768
"ACCEL Motorcycle",ACC173085K,173085K,"ACCEL MOTORCYCLE WIRE SET 8.8",0,42.56653,53.66768
