BRAND,JRPSKU,OEMSKU,DESCRIPTION,QTY,COST,MAP
ACCEL,ACC49505,49505,"ACCEL ACCEL SUPERTUNER",0,359.29730,435.47883
Hooker,HOO10150HKR,10150HKR,"HOOKER HOOKER NEON CLOCK",0,68.52807,91.98691
